1,Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
0,,,,,,,,,,,,
1,c_Stars_IndexAvg,109,139,25.26,25.24,11.65,12.75,1.12,1.08,0.38,0.994,None (0.0)
0,,,,,,,,,,,,
1,c_Director_IndexAvg,109,139,24.89,23.63,13.74,12.39,1.32,1.05,0.1,0.448,Very Small (0.1)
0,,,,,,,,,,,,
1,c_Date_IndexAvg,109,139,29.07,27.09,12.77,12.79,1.22,1.09,0.92,0.227,Very Small (0.15)
0,,,,,,,,,,,,
1,c_Tag_IndexAvg,109,139,20.56,22.68,14.06,14.27,1.35,1.21,0.95,0.244,Very Small (-0.15)
0,,,,,,,,,,,,
1,c_SVD_IndexAvg,109,139,22.13,23.9,13.96,12.55,1.34,1.06,0.08,0.295,Very Small (-0.13)
0,,,,,,,,,,,,
1,c_Baseline_IndexAvg,109,139,27.39,27.5,12.85,12.49,1.23,1.06,0.49,0.945,None (-0.01)
0,,,,,,,,,,,,
1,c_All_Picked,109,139,0.47,0.62,0.81,1.05,0.08,0.09,0.03****,0.216,Very Small (-0.16)
0,,,,,,,,,,,,
1,c_Title_Picked,109,139,0.27,0.27,0.8,0.67,0.08,0.06,0.89,0.938,Very Small (-0.01)
0,,,,,,,,,,,,
1,c_Image_Picked,109,139,0.29,0.24,0.6,0.59,0.06,0.05,0.33,0.519,Very Small (0.08)
0,,,,,,,,,,,,
1,c_Plot_Picked,109,139,0.37,0.48,0.73,0.73,0.07,0.06,0.19,0.217,Very Small (-0.16)
0,,,,,,,,,,,,
1,c_Genre_Picked,109,139,0.31,0.42,0.73,0.77,0.07,0.07,0.14,0.275,Very Small (-0.14)
0,,,,,,,,,,,,
1,c_Stars_Picked,109,139,0.32,0.32,0.62,0.74,0.06,0.06,0.75,0.976,None (-0.0)
0,,,,,,,,,,,,
1,c_Director_Picked,109,139,0.7,0.53,1.02,0.85,0.1,0.07,0.06,0.15,Very Small (0.18)
0,,,,,,,,,,,,
1,c_Date_Picked,109,139,0.23,0.28,0.66,0.63,0.06,0.05,0.4,0.533,Very Small (-0.08)
0,,,,,,,,,,,,
1,c_Tag_Picked,109,139,1.1,0.87,1.35,1.2,0.13,0.1,0.14,0.157,Very Small (0.18)
0,,,,,,,,,,,,
1,c_SVD_Picked,109,139,0.77,0.73,1.18,1.13,0.11,0.1,0.58,0.765,Very Small (0.04)
0,,,,,,,,,,,,
1,c_Baseline_Picked,109,139,0.17,0.24,0.47,0.63,0.04,0.05,0.06,0.385,Very Small (-0.11)
