1,Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
0,,,,,,,,,,,,
1,c_Stars_IndexAvg,123,162,25.4,24.77,11.91,12.87,1.07,1.01,0.32,0.674,Very Small (0.05)
0,,,,,,,,,,,,
1,c_Director_IndexAvg,123,162,24.63,23.31,13.99,12.25,1.26,0.96,0.03****,0.396,Very Small (0.1)
0,,,,,,,,,,,,
1,c_Date_IndexAvg,123,162,28.54,26.73,12.82,12.76,1.16,1,0.97,0.238,Very Small (0.14)
0,,,,,,,,,,,,
1,c_Tag_IndexAvg,123,162,21.05,22.88,14.07,14.37,1.27,1.13,0.96,0.282,Very Small (-0.13)
0,,,,,,,,,,,,
1,c_SVD_IndexAvg,123,162,22.59,24.85,14.23,12.87,1.28,1.01,0.04****,0.162,Very Small (-0.17)
0,,,,,,,,,,,,
1,c_Baseline_IndexAvg,123,162,26.66,27.46,13.1,13.01,1.18,1.02,0.76,0.607,Very Small (-0.06)
0,,,,,,,,,,,,
1,c_All_Picked,123,162,0.46,0.57,0.81,1,0.07,0.08,0.05,0.31,Very Small (-0.12)
0,,,,,,,,,,,,
1,c_Title_Picked,123,162,0.28,0.33,0.82,0.81,0.07,0.06,0.57,0.661,Very Small (-0.05)
0,,,,,,,,,,,,
1,c_Image_Picked,123,162,0.28,0.28,0.59,0.73,0.05,0.06,0.74,0.987,None (-0.0)
0,,,,,,,,,,,,
1,c_Plot_Picked,123,162,0.37,0.48,0.75,0.78,0.07,0.06,0.15,0.209,Very Small (-0.15)
0,,,,,,,,,,,,
1,c_Genre_Picked,123,162,0.34,0.4,0.82,0.74,0.07,0.06,0.61,0.564,Very Small (-0.07)
0,,,,,,,,,,,,
1,c_Stars_Picked,123,162,0.33,0.34,0.69,0.76,0.06,0.06,0.81,0.944,None (-0.01)
0,,,,,,,,,,,,
1,c_Director_Picked,123,162,0.72,0.57,1.09,1.01,0.1,0.08,0.2,0.213,Very Small (0.15)
0,,,,,,,,,,,,
1,c_Date_Picked,123,162,0.24,0.29,0.64,0.7,0.06,0.06,0.35,0.569,Very Small (-0.07)
0,,,,,,,,,,,,
1,c_Tag_Picked,123,162,1.02,0.85,1.3,1.2,0.12,0.09,0.42,0.248,Very Small (0.14)
0,,,,,,,,,,,,
1,c_SVD_Picked,123,162,0.76,0.67,1.19,1.09,0.11,0.09,0.23,0.5,Very Small (0.08)
0,,,,,,,,,,,,
1,c_Baseline_Picked,123,162,0.19,0.23,0.5,0.61,0.05,0.05,0.18,0.543,Very Small (-0.07)
