1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,c_movieInListPosAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0923,0.7228,-0.3873,0.2027,FALSE,Very Small (-0.12),1.7661,0.801,0.1043
1,0,4,-0.0039,0.9,-0.3067,0.2988,FALSE,None (-0.0),1.6738,0.677,0.0594
1,2,4,0.0883,0.6542,-0.1545,0.3312,FALSE,Very Small (0.11),1.7622,0.9179,0.0871
1,c_moviePosAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,0.1653,0.8215,-0.5251,0.8558,FALSE,Very Small (0.09),1.7254,1.7019,0.2216
1,0,4,-0.0768,0.9,-0.7855,0.6319,FALSE,Very Small (-0.04),1.8908,2.0334,0.1783
1,2,4,-0.2421,0.5702,-0.8106,0.3263,FALSE,Very Small (-0.13),1.6486,1.743,0.1654
1,c_preferecControl,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0591,0.8955,-0.261,0.3791,FALSE,Very Small (0.07),0.6102,0.8713,0.1134
1,0,4,-0.1417,0.5628,-0.4702,0.1868,FALSE,Very Small (-0.17),0.6692,0.9098,0.0798
1,2,4,-0.2008,0.1732,-0.4642,0.0627,FALSE,Small (-0.23),0.4685,0.807,0.0766
1,q_outc_satisfactionScore1,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3991,0.0372,0.0187,0.7795,TRUE,Small (0.37),3.5932,1.0687,0.1391
1,0,4,0.5689,0.002,0.1785,0.9594,TRUE,Medium (0.56),3.9923,1.0675,0.0936
1,2,4,0.1699,0.4106,-0.1433,0.483,FALSE,Very Small (0.17),4.1622,0.9586,0.091
1,q_outc_satisfactionScore2,-,-,-,-,-,-,-,-,-,-
1,0,2,0.4576,0.0128,0.08,0.8353,TRUE,Small (0.42),3.5424,1.1792,0.1535
1,0,4,0.5477,0.0028,0.1601,0.9353,TRUE,Medium (0.52),4,1.0192,0.0894
1,2,4,0.0901,0.7537,-0.2208,0.401,FALSE,Very Small (0.09),4.0901,0.9298,0.0883
1,q_outc_satisfactionScore3,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3421,0.1175,-0.0637,0.7479,FALSE,Small (0.3),3.6271,1.097,0.1428
1,0,4,0.3909,0.071,-0.0256,0.8074,FALSE,Small (0.37),3.9692,1.1743,0.103
1,2,4,0.0488,0.9,-0.2853,0.3829,FALSE,Very Small (0.04),4.018,0.9998,0.0949
1,q_outc_satisfactionScore4,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3639,0.0775,-0.0305,0.7582,FALSE,Small (0.31),3.4746,1.2227,0.1592
1,0,4,0.6425,0.001,0.2378,1.0473,TRUE,Medium (0.59),3.8385,1.0983,0.0963
1,2,4,0.2787,0.1088,-0.046,0.6033,FALSE,Small (0.27),4.1171,0.9317,0.0884
1,q_outc_satisfactionScore5,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3589,0.0602,-0.0118,0.7297,FALSE,Small (0.34),3.6949,1.0868,0.1415
1,0,4,0.4222,0.0254,0.0416,0.8028,TRUE,Small (0.41),4.0538,1.0063,0.0883
1,2,4,0.0633,0.8649,-0.242,0.3685,FALSE,Very Small (0.06),4.1171,0.951,0.0903
1,c_outc_listSatAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3843,0.0038,0.1046,0.6641,TRUE,Small (0.49),3.5864,0.7798,0.1015
1,0,4,0.5145,0.001,0.2273,0.8016,TRUE,Medium (0.7),3.9708,0.7965,0.0699
1,2,4,0.1301,0.3804,-0.1002,0.3604,FALSE,Very Small (0.17),4.1009,0.6933,0.0658
1,q_outc_diversity,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0674,0.8732,-0.4026,0.2677,FALSE,Very Small (-0.07),3.8136,0.8803,0.1146
1,0,4,0.0333,0.9,-0.3107,0.3773,FALSE,Very Small (0.04),3.7462,0.9589,0.0841
1,2,4,0.1007,0.6524,-0.1752,0.3766,FALSE,Very Small (0.11),3.8468,0.8549,0.0811
1,q_outc_novelty,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0666,0.9,-0.3188,0.4521,FALSE,Very Small (0.06),3.6949,1.1026,0.1435
1,0,4,0.242,0.3217,-0.1536,0.6376,FALSE,Small (0.23),3.7615,1.0477,0.0919
1,2,4,0.1754,0.3966,-0.1419,0.4927,FALSE,Very Small (0.17),3.9369,1.0025,0.0952
1,q_outc_serendipity,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3472,0.0743,-0.026,0.7204,FALSE,Small (0.32),3.322,1.1055,0.1439
1,0,4,0.4617,0.0133,0.0787,0.8448,TRUE,Small (0.46),3.6692,1.0667,0.0936
1,2,4,0.1146,0.6417,-0.1927,0.4218,FALSE,Very Small (0.12),3.7838,0.8781,0.0833
1,q_outc_relevance,-,-,-,-,-,-,-,-,-,-
1,0,2,0.2784,0.2768,-0.149,0.7057,FALSE,Small (0.24),3.0678,1.0965,0.1427
1,0,4,0.6259,0.0025,0.1872,1.0645,TRUE,Medium (0.58),3.3462,1.2619,0.1107
1,2,4,0.3475,0.0537,-0.0043,0.6994,FALSE,Small (0.3),3.6937,1.0513,0.0998
1,q_proc_searchSim,-,-,-,-,-,-,-,-,-,-
1,0,2,0.2147,0.5608,-0.2812,0.7107,FALSE,Very Small (0.16),2.4237,1.3797,0.1796
1,0,4,0.306,0.3346,-0.2031,0.8151,FALSE,Small (0.22),2.6385,1.3119,0.1151
1,2,4,0.0913,0.843,-0.3171,0.4996,FALSE,Very Small (0.07),2.7297,1.3548,0.1286
1,q_proc_decidDiff,-,-,-,-,-,-,-,-,-,-
1,0,2,0.1527,0.7246,-0.3377,0.643,FALSE,Very Small (0.12),2.7627,1.2911,0.1681
1,0,4,0.1202,0.8224,-0.3831,0.6234,FALSE,Very Small (0.09),2.9154,1.3528,0.1186
1,2,4,-0.0325,0.9,-0.4362,0.3712,FALSE,Very Small (-0.02),2.8829,1.3124,0.1246
1,q_proc_recImprove,-,-,-,-,-,-,-,-,-,-
1,0,2,0.2815,0.2191,-0.1158,0.6787,FALSE,Small (0.25),3.0339,1.0822,0.1409
1,0,4,0.5607,0.0038,0.153,0.9684,TRUE,Medium (0.55),3.3154,1.1616,0.1019
1,2,4,0.2792,0.1114,-0.0478,0.6063,FALSE,Small (0.26),3.5946,0.9571,0.0908
1,q_proc_control,-,-,-,-,-,-,-,-,-,-
1,0,2,0.203,0.4878,-0.2141,0.6201,FALSE,Very Small (0.18),3.0508,1.0073,0.1311
1,0,4,0.6699,0.001,0.2418,1.0979,TRUE,Medium (0.64),3.2538,1.2156,0.1066
1,2,4,0.4669,0.0043,0.1235,0.8102,TRUE,Small (0.41),3.7207,1.0802,0.1025
1,q_proc_sorting,-,-,-,-,-,-,-,-,-,-
1,0,2,0.255,0.2987,-0.1487,0.6588,FALSE,Small (0.23),3.2373,1.1647,0.1516
1,0,4,0.5105,0.0111,0.096,0.9249,TRUE,Small (0.46),3.4923,1.0872,0.0954
1,2,4,0.2554,0.1682,-0.077,0.5879,FALSE,Small (0.24),3.7477,1.0572,0.1003
1,c_ageGroup,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0445,0.9,-0.4187,0.3298,FALSE,Very Small (-0.04),2.8983,1.0779,0.1403
1,0,4,-0.2316,0.3323,-0.6158,0.1525,FALSE,Small (-0.22),2.8538,0.9813,0.0861
1,2,4,-0.1872,0.3268,-0.4953,0.121,FALSE,Very Small (-0.19),2.6667,1.012,0.0961
1,q_dem_onlineUsage,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.5495,0.001,-0.7765,-0.3225,TRUE,Medium (-0.77),2.2034,0.8863,0.1154
1,0,4,-0.789,0.001,-1.022,-0.556,TRUE,Large (-1.06),1.6538,0.4935,0.0433
1,2,4,-0.2394,0.0078,-0.4263,-0.0526,TRUE,Small (-0.45),1.4144,0.5636,0.0535
1,c_dem_genderCat,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0747,0.6159,-0.2653,0.1158,FALSE,Very Small (-0.14),1.5593,0.5654,0.0736
1,0,4,0.0713,0.6529,-0.1243,0.2669,FALSE,Very Small (0.13),1.4846,0.5017,0.044
1,2,4,0.146,0.0742,-0.0109,0.3029,FALSE,Small (0.29),1.6306,0.5032,0.0478
1,c_All_IndexAvg,-,-,-,-,-,-,-,-,-,-
