sessionName,time,condition,v_attention1,v_refMovie_1,v_preListOrder_1,v_postListOrder_1,v_listSelectedFrom1,v_movieSelected1,v_moviePosition1,v_clickCount1,v_dragCount1,v_moveDistanceA1,v_moveDistanceC1,v_moveDistanceD1,v_browsingTime1,v_zoomPressed1,q_outc_satisfactionScore1,c_movieInListPos1,v_refMovie_2,v_preListOrder_2,v_postListOrder_2,v_listSelectedFrom2,v_movieSelected2,v_moviePosition2,v_clickCount2,v_dragCount2,v_moveDistanceA2,v_moveDistanceC2,v_moveDistanceD2,v_browsingTime2,v_zoomPressed2,q_outc_satisfactionScore2,c_movieInListPos2,v_refMovie_3,v_preListOrder_3,v_postListOrder_3,v_listSelectedFrom3,v_movieSelected3,v_moviePosition3,v_clickCount3,v_dragCount3,v_moveDistanceA3,v_moveDistanceC3,v_moveDistanceD3,v_browsingTime3,v_zoomPressed3,q_outc_satisfactionScore3,c_movieInListPos3,v_refMovie_4,v_preListOrder_4,v_postListOrder_4,v_listSelectedFrom4,v_movieSelected4,v_moviePosition4,v_clickCount4,v_dragCount4,v_moveDistanceA4,v_moveDistanceC4,v_moveDistanceD4,v_browsingTime4,v_zoomPressed4,q_outc_satisfactionScore4,c_movieInListPos4,v_refMovie_5,v_preListOrder_5,v_postListOrder_5,v_listSelectedFrom5,v_movieSelected5,v_moviePosition5,v_clickCount5,v_dragCount5,v_moveDistanceA5,v_moveDistanceC5,v_moveDistanceD5,v_browsingTime5,v_zoomPressed5,q_outc_satisfactionScore5,c_movieInListPos5,c_moveDistanceAavg,c_moveDistanceCavg,c_moveDistanceDavg,c_clickCountAvg,c_dragCountAvg,c_movieInListPosAvg,c_preferecControl,c_moviePosAvg,v_surveyTime,v_totalTime,v_attention2,q_dem_onlineUsage,q_dem_movieUsage,q_dem_age,c_ageGroup,q_dem_gender,c_dem_genderCat,q_sys_freqUse,q_sys_complex,q_sys_easeUse,q_sys_techNeed,q_sys_funcInteg,q_sys_inconsist,q_sys_learnUse,q_sys_cumbUse,q_sys_confUse,q_sys_learnToUse,c_sys_SUS,q_proc_searchSim,q_proc_decidDiff,q_proc_recImprove,q_proc_control,q_proc_sorting,c_outc_listSatAvg,q_outc_diversity,q_outc_novelty,q_outc_serendipity,q_outc_relevance,q_comment,c_All_IndexAvg,c_Title_IndexAvg,c_Image_IndexAvg,c_Plot_IndexAvg,c_Genre_IndexAvg,c_Stars_IndexAvg,c_Director_IndexAvg,c_Date_IndexAvg,c_Tag_IndexAvg,c_SVD_IndexAvg,c_Baseline_IndexAvg,c_All_Picked,c_Title_Picked,c_Image_Picked,c_Plot_Picked,c_Genre_Picked,c_Stars_Picked,c_Director_Picked,c_Date_Picked,c_Tag_Picked,c_SVD_Picked,c_Baseline_Picked
KGBAKD0ZDRGJK,2020-10-15T20:45:09.099Z,4,FALSE,88140.json,SVD-Tag-Title-All-Genre-Director-Date-Plot-Baseline-Stars-Image,SVD-Tag-Title-All-Genre-Director-Date-Plot-Baseline-Stars-Image,SVD,112852.json,0,0,0,0,0,0,8.15,0,4,4,89745.json,Plot-Date-Genre-All-SVD-Stars-Tag-Baseline-Director-Title-Image,Plot-Date-Genre-All-SVD-Stars-Tag-Baseline-Director-Title-Image,Plot,110102.json,0,0,0,0,0,0,4.87,0,4,0,86332.json,Plot-Date-SVD-Tag-Genre-Stars-Director-Image-Baseline-All-Title,Plot-Date-SVD-Tag-Genre-Stars-Director-Image-Baseline-All-Title,Plot,3578.json,0,0,0,0,0,0,22.8,0,5,0,122922.json,Plot-Stars-All-Genre-Image-Title-Director-Tag-Baseline-SVD-Date,Plot-Stars-All-Genre-Image-Title-Director-Tag-Baseline-SVD-Date,Plot,86332.json,0,0,0,0,0,0,5.49,0,5,1,110102.json,Director-Stars-SVD-Title-Genre-All-Baseline-Image-Plot-Tag-Date,Director-Stars-SVD-Title-Genre-All-Baseline-Image-Plot-Tag-Date,Director,88140.json,0,0,0,0,0,0,2.94,0,5,1,0,0,0,0,0,1.2,0,0,41.34,305.67,FALSE,2,4,43,3,Female,1,4,4,4,5,5,5,5,5,4,4,47.5,4,4,4,5,5,4.6,4,4,4,5,,22,29,38,15,17,21,25,28,26,17,37,0,0,0,3,0,0,1,0,0,1,0
KGBA078HCVEM4,2020-10-15T20:29:01.052Z,4,FALSE,3916.json,Plot-Title-Date-Baseline-All-Stars-Genre-SVD-Tag-Image-Director,Plot-Title-Date-Baseline-All-Stars-Genre-SVD-Tag-Image-Director,Plot,7263.json,0,0,0,0,0,0,50.22,0,3,4,5103.json,Genre-Director-SVD-Date-All-Tag-Baseline-Plot-Image-Stars-Title,Genre-Director-SVD-Date-All-Tag-Baseline-Plot-Image-Stars-Title,Genre,1359.json,0,0,0,0,0,0,12.01,0,5,0,1721.json,SVD-Image-All-Date-Baseline-Genre-Title-Stars-Tag-Plot-Director,SVD-Image-All-Date-Baseline-Genre-Title-Stars-Tag-Plot-Director,SVD,8533.json,0,0,0,0,0,0,8.66,0,4,2,8533.json,Date-Genre-Stars-Plot-Director-All-Image-Title-Tag-Baseline-SVD,Date-Genre-Stars-Plot-Director-All-Image-Title-Tag-Baseline-SVD,Date,7444.json,0,0,0,0,0,0,18.49,0,3,3,5419.json,Image-Plot-Stars-All-Tag-Genre-SVD-Title-Baseline-Director-Date,Image-Plot-Stars-All-Tag-Genre-SVD-Title-Baseline-Director-Date,Image,588.json,0,0,0,0,0,0,9.38,0,4,0,0,0,0,0,0,1.8,0,0,70.28,327.67,TRUE,1,2,27,2,Female,1,3,3,3,1,3,4,3,4,1,3,45,3,5,2,3,2,3.8,4,4,4,2,,18,31,24,20,17,25,34,18,33,25,30,0,0,1,1,1,0,0,1,0,1,0
KGBA0WTJ7QCDJ,2020-10-15T20:29:37.889Z,4,FALSE,46578.json,Director-Title-Genre-Stars-Image-Date-Baseline-Tag-SVD-All-Plot,Director-Title-Genre-Stars-Image-Date-Baseline-Tag-SVD-All-Plot,Plot,1010.json,10,0,0,0,0,0,12.03,0,4,0,8641.json,Director-Plot-SVD-Baseline-Stars-All-Date-Tag-Genre-Image-Title,Director-Plot-SVD-Baseline-Stars-All-Date-Tag-Genre-Image-Title,Director,8528.json,0,0,0,0,0,0,9.69,0,5,2,4623.json,Tag-Baseline-Image-Title-Genre-Date-SVD-Director-Stars-Plot-All,Tag-Baseline-Image-Title-Genre-Date-SVD-Director-Stars-Plot-All,Tag,3098.json,0,0,0,0,0,0,10.22,0,4,1,3361.json,Plot-Date-Title-Tag-Stars-Baseline-Genre-SVD-All-Image-Director,Plot-Date-Title-Tag-Stars-Baseline-Genre-SVD-All-Image-Director,Plot,2060.json,0,0,0,0,0,0,6.65,0,5,0,122900.json,All-Plot-Date-Stars-Director-Tag-Image-SVD-Title-Baseline-Genre,All-Plot-Date-Stars-Director-Tag-Image-SVD-Title-Baseline-Genre,Stars,3020.json,3,0,0,0,0,0,16.2,0,5,3,0,0,0,0,0,1.2,0,2.6,102.61,341.92,TRUE,2,1,50,4,Male,2,2,4,3,1,3,4,4,3,3,1,55,2,2,3,3,3,4.6,4,4,2,1,No problems.,32,24,30,21,30,22,21,19,22,30,24,0,0,0,2,0,1,1,0,1,0,0
KGBDRK351YPTU,2020-10-15T22:13:04.958Z,4,FALSE,86332.json,Director-Plot-Image-Baseline-Date-Title-Genre-SVD-Stars-All-Tag,Director-Plot-Image-Baseline-Date-Title-Genre-SVD-Stars-All-Tag,Plot,111659.json,1,0,0,0,0,0,15.8,0,5,2,68358.json,Image-Title-Tag-Director-Stars-All-Date-Genre-SVD-Plot-Baseline,Image-Title-Tag-Director-Stars-All-Date-Genre-SVD-Plot-Baseline,Image,23.json,0,0,0,0,0,0,6.22,0,5,2,59315.json,Genre-Date-Tag-Plot-SVD-Stars-Director-Image-Baseline-All-Title,Genre-Date-Tag-Plot-SVD-Stars-Director-Image-Baseline-All-Title,Genre,122924.json,0,0,0,0,0,0,4.33,1,5,1,122920.json,SVD-Date-Baseline-Image-Director-Genre-Plot-All-Title-Tag-Stars,SVD-Date-Baseline-Image-Director-Genre-Plot-All-Title-Tag-Stars,SVD,143355.json,0,0,0,0,0,0,4.67,0,5,2,143355.json,All-Director-Image-Tag-SVD-Date-Genre-Baseline-Stars-Title-Plot,All-Director-Image-Tag-SVD-Date-Genre-Baseline-Stars-Title-Plot,All,3578.json,0,0,0,0,0,0,5.24,0,5,0,0,0,0,0,0,1.4,0,0.2,90.24,393.96,TRUE,2,3,43,3,Female,1,2,4,3,2,3,4,3,2,4,3,50,2,5,4,3,3,5,2,4,3,5,An interesting survey. I love it,30,33,14,29,24,35,14,17,26,23,30,1,0,1,1,1,0,0,0,0,1,0
KGBC2Z3Z6PZYY,2020-10-15T21:27:12.727Z,4,FALSE,480.json,Image-Plot-Date-Stars-SVD-Tag-Genre-Baseline-Director-All-Title,Image-Date-SVD-Plot-Stars-Tag-Genre-Baseline-Director-All-Title,Image,1544.json,0,3,0,3,3,0,116.2,0,5,0,858.json,SVD-Tag-Plot-Baseline-Stars-Title-Date-Genre-All-Director-Image,Tag-SVD-Plot-Genre-Stars-Title-Baseline-Date-All-Director-Image,Tag,1089.json,0,11,0,11,11,0,31.4,0,5,1,260.json,Image-All-Director-Tag-Stars-Genre-SVD-Baseline-Plot-Date-Title,All-Image-Director-Tag-Stars-Genre-SVD-Baseline-Plot-Date-Title,All,1196.json,0,1,0,1,1,0,9.78,0,5,0,68358.json,All-Tag-Genre-Stars-Date-Image-Director-Baseline-Plot-SVD-Title,All-Genre-Tag-Stars-Image-Director-Date-Baseline-Plot-SVD-Title,All,1375.json,0,3,0,3,3,0,36.9,0,5,1,5872.json,Plot-SVD-Date-All-Tag-Title-Stars-Director-Image-Genre-Baseline,SVD-Plot-All-Date-Tag-Stars-Title-Director-Image-Genre-Baseline,SVD,3082.json,0,3,0,3,3,0,18.55,0,4,1,4.2,4.2,0,4.2,0,0.6,2,0,68.6,395.51,TRUE,1,4,24,1,Male,2,4,1,5,4,5,1,4,1,5,4,80,2,4,5,4,4,4.8,4,5,4,4,No other comments,19,41,23,22,24,20,31,26,14,18,37,2,0,1,0,0,0,0,0,1,1,0
KGBCWJMPRQVGP,2020-10-15T21:50:12.742Z,4,FALSE,2005.json,Stars-Title-Genre-Tag-Director-All-Baseline-Plot-Image-Date-SVD,Title-Stars-Genre-Tag-Director-All-Baseline-Plot-Date-Image-SVD,SVD,4128.json,10,2,0,2,2,0,80.35,2,3,1,1967.json,Image-SVD-Genre-Director-Title-Plot-Stars-Date-Baseline-Tag-All,Image-SVD-Genre-Director-Title-Plot-Stars-Date-Baseline-Tag-All,All,135143.json,10,0,0,0,0,0,26.52,0,5,3,2072.json,Tag-Date-Baseline-Title-All-Director-Image-SVD-Plot-Stars-Genre,Tag-Date-Baseline-Title-All-Director-Image-SVD-Plot-Stars-Genre,Tag,2174.json,0,0,0,0,0,0,16.01,0,5,0,18.json,Baseline-SVD-Date-Stars-All-Genre-Plot-Image-Title-Director-Tag,Baseline-SVD-Date-Stars-All-Genre-Plot-Image-Title-Director-Tag,Tag,2542.json,10,0,0,0,0,0,16.1,0,5,3,2617.json,Title-Baseline-All-Stars-Genre-Plot-Date-Tag-SVD-Image-Director,Title-Baseline-All-Stars-Genre-Plot-Date-Tag-SVD-Image-Director,Director,57640.json,10,0,0,0,0,0,22.65,0,5,4,0.4,0.4,0,0.4,0,2.2,2,8,95.88,398.52,TRUE,1,2,37,3,Male,2,4,3,4,3,4,3,4,3,5,2,67.5,1,2,4,3,4,4.6,4,5,3,4,Na,25,15,31,31,23,22,31,24,29,27,17,1,0,0,0,0,0,1,0,2,1,0
KGBBJQCRSCF8Y,2020-10-15T20:59:37.355Z,4,FALSE,7160.json,Plot-Baseline-Genre-Stars-Director-Title-All-Tag-Image-SVD-Date,Baseline-Plot-Genre-Stars-Director-Title-All-Tag-Image-SVD-Date,Baseline,8371.json,0,1,0,1,1,0,41.81,2,4,2,4896.json,SVD-Plot-Genre-Tag-Stars-Date-Baseline-All-Title-Image-Director,SVD-Plot-Genre-Tag-Stars-Date-Baseline-All-Title-Image-Director,Plot,59501.json,1,0,0,0,0,0,18.28,0,5,0,1327.json,All-Director-SVD-Stars-Baseline-Title-Tag-Genre-Image-Plot-Date,All-Director-SVD-Stars-Baseline-Title-Tag-Genre-Image-Plot-Date,All,140174.json,0,0,0,0,0,0,6.18,0,5,4,140174.json,Date-Baseline-Plot-Tag-Image-Director-Genre-Stars-SVD-All-Title,Date-Baseline-Plot-Tag-Image-Director-Genre-Stars-SVD-All-Title,Baseline,162.json,1,0,0,0,0,0,9.18,0,4,2,6001.json,Date-Plot-Image-Stars-SVD-All-Title-Baseline-Tag-Genre-Director,Date-Plot-Image-Stars-SVD-All-Title-Baseline-Tag-Genre-Director,Date,2919.json,0,0,0,0,0,0,15.16,0,5,0,0.2,0.2,0,0.2,0,1.6,2,0.4,64.61,424.18,TRUE,2,2,25,2,Female,1,4,3,5,4,5,3,4,5,4,5,55,4,3,4,5,3,4.6,4,5,3,4,nice,27,34,31,14,26,20,30,25,27,23,18,1,0,0,1,0,0,0,1,0,0,2
KGBAQVDW6YMQD,2020-10-15T20:49:00.374Z,4,FALSE,1387.json,Tag-Genre-Date-Plot-Image-Baseline-Title-Stars-All-SVD-Director,Tag-Date-Plot-Genre-Image-Baseline-Title-Director-Stars-All-SVD,Date,3362.json,1,9,0,9,9,0,81.75,2,4,2,1214.json,Image-Stars-SVD-Tag-Title-Plot-Director-All-Baseline-Genre-Date,Image-Stars-SVD-Tag-Title-Plot-Director-All-Baseline-Genre-Date,SVD,1240.json,2,0,0,0,0,0,50.75,0,2,3,3198.json,Date-Director-Image-Tag-Stars-Genre-All-SVD-Title-Baseline-Plot,Date-Image-Director-Tag-Stars-Genre-All-SVD-Title-Baseline-Plot,Director,1276.json,2,7,0,7,7,0,29.57,0,4,1,3735.json,Baseline-Stars-Image-Date-SVD-Plot-Director-Tag-All-Title-Genre,Baseline-Stars-Image-Date-SVD-Plot-Director-Tag-All-Title-Genre,Stars,858.json,1,0,0,0,0,0,13.12,0,2,2,4262.json,Stars-All-Genre-Baseline-Image-Tag-Title-SVD-Plot-Director-Date,Stars-All-Genre-Baseline-Image-Tag-Title-SVD-Plot-Director-Date,All,858.json,1,0,0,0,0,0,27.16,0,3,2,3.2,3.2,0,3.2,0,2,2,1.4,109.43,461.99,TRUE,1,3,54,4,Male,2,2,2,4,1,3,2,4,2,5,1,75,2,3,2,2,3,3,4,3,4,3,,31,33,11,30,29,14,30,24,18,30,25,1,0,0,0,0,1,1,1,0,1,0
KGBIS7CLRIFJB,2020-10-16T00:35:01.237Z,4,FALSE,4105.json,All-Title-SVD-Director-Baseline-Tag-Plot-Image-Genre-Date-Stars,All-Title-SVD-Director-Baseline-Tag-Plot-Image-Genre-Date-Stars,All,1261.json,0,0,0,0,0,0,51.16,0,5,1,2021.json,Date-Image-Tag-All-Director-SVD-Stars-Genre-Title-Plot-Baseline,Date-Image-Tag-All-Director-SVD-Stars-Genre-Title-Plot-Baseline,Date,1375.json,0,0,0,0,0,0,24.87,0,3,0,1210.json,Plot-Image-Date-All-Stars-Baseline-Director-Genre-Tag-Title-SVD,Plot-Image-Date-All-Stars-Baseline-Director-Genre-Tag-Title-SVD,Plot,118696.json,0,0,0,0,0,0,17.14,0,3,1,6755.json,Director-Genre-Plot-Title-SVD-Date-Tag-Stars-Image-Baseline-All,Director-Genre-Plot-Title-SVD-Date-Tag-Stars-Image-Baseline-All,Director,2901.json,0,0,0,0,0,0,18.02,0,4,0,2995.json,Baseline-Stars-Genre-Image-Tag-Title-Director-Plot-All-Date-SVD,Baseline-Stars-Genre-Image-Tag-Title-Director-Plot-All-Date-SVD,Baseline,2664.json,0,0,0,0,0,0,26.73,0,4,0,0,0,0,0,0,0.4,0,0,93.46,474.05,TRUE,1,5,34,2,Other,3,5,1,5,1,5,1,5,1,5,1,100,2,2,3,5,4,3.8,4,4,5,4,"No issues, it was fine.",24,26,20,24,25,28,19,25,25,31,28,1,0,0,1,0,0,1,1,0,0,1
KGBA6RKC19GJQ,2020-10-15T20:34:42.423Z,4,FALSE,4489.json,All-Stars-Plot-Title-Tag-Baseline-Image-SVD-Genre-Director-Date,All-Stars-Plot-Title-Tag-Baseline-Image-SVD-Genre-Director-Date,Tag,3552.json,4,0,0,0,0,0,43.24,0,5,4,3418.json,All-Genre-SVD-Baseline-Stars-Plot-Title-Director-Tag-Image-Date,All-Genre-SVD-Baseline-Stars-Plot-Title-Director-Tag-Image-Date,Date,4321.json,10,0,0,0,0,0,31.96,1,5,0,6377.json,Stars-Tag-Genre-Director-SVD-Image-Date-All-Title-Plot-Baseline,Stars-Tag-Genre-Director-SVD-Image-Date-All-Title-Plot-Baseline,Tag,50872.json,1,0,0,0,0,0,13.31,0,5,1,115210.json,Tag-Baseline-Plot-Date-All-Director-Genre-Image-SVD-Stars-Title,Tag-Baseline-Plot-Date-All-Director-Genre-Image-SVD-Stars-Title,Tag,3578.json,0,0,0,0,0,0,8.88,0,5,4,2641.json,All-Genre-Director-Tag-Stars-Plot-Title-SVD-Date-Baseline-Image,All-Genre-Director-Tag-Stars-Plot-Title-SVD-Date-Baseline-Image,All,2021.json,0,0,0,0,0,0,11.53,0,4,1,0,0,0,0,0,2,0,3,119.19,474.83,TRUE,2,3,66,5,Female,1,5,1,5,1,4,2,4,2,4,2,85,2,2,4,4,4,4.8,4,4,4,4,none,11,33,37,23,18,18,26,37,16,28,28,1,0,0,0,0,0,0,1,3,0,0
