Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
c_Image_IndexAvg,42,38,22.93,31.34,15.09,14.03,2.33,2.28,0.48,0.012*,Medium (-0.58)
c_Plot_IndexAvg,42,38,25.74,24.97,15.34,13.81,2.37,2.24,0.14,0.816,Very Small (0.05)
c_Genre_IndexAvg,42,38,27.93,21.32,16.12,15.23,2.49,2.47,0.54,0.064,Small (0.42)
c_Stars_IndexAvg,42,38,26.79,26.34,14,12.95,2.16,2.1,0.28,0.884,Very Small (0.03)
c_Director_IndexAvg,42,38,23,21.87,16.73,14.25,2.58,2.31,0.11,0.747,Very Small (0.07)
c_Date_IndexAvg,42,38,23.69,30.74,15.53,13.38,2.4,2.17,0.32,0.034*,Small (-0.48)
c_Tag_IndexAvg,42,38,25.29,15.84,17.63,13.58,2.72,2.2,0.01****,0.009**,Medium (0.6)
c_SVD_IndexAvg,42,38,28.33,20.32,15.09,15.67,2.33,2.54,0.48,0.022*,Medium (0.52)
c_Baseline_IndexAvg,42,38,22.43,31.61,15.32,12.27,2.36,1.99,0.03****,0.004**,Medium (-0.66)
c_All_Picked,42,38,0.31,0.61,0.78,1.08,0.12,0.18,0.08,0.161,Small (-0.32)
c_Title_Picked,42,38,0.43,0.21,1.09,0.58,0.17,0.09,0.02****,0.273,Small (0.25)
c_Image_Picked,42,38,0.26,0.26,0.5,0.76,0.08,0.12,0.58,0.993,None (-0.0)
c_Plot_Picked,42,38,0.43,0.45,0.86,0.86,0.13,0.14,0.89,0.922,Very Small (-0.02)
c_Genre_Picked,42,38,0.33,0.42,0.87,1.03,0.13,0.17,0.5,0.682,Very Small (-0.09)
c_Stars_Picked,42,38,0.26,0.29,0.5,0.77,0.08,0.12,0.39,0.848,Very Small (-0.04)
c_Director_Picked,42,38,0.88,0.63,1.27,1.08,0.2,0.17,0.21,0.349,Small (0.21)
c_Date_Picked,42,38,0.29,0.16,0.6,0.59,0.09,0.1,0.16,0.34,Small (0.21)
c_Tag_Picked,42,38,1.02,1.13,1.52,1.3,0.23,0.21,0.42,0.736,Very Small (-0.08)
c_SVD_Picked,42,38,0.55,0.76,1.09,1.22,0.17,0.2,0.66,0.405,Very Small (-0.19)
c_Baseline_Picked,42,38,0.24,0.08,0.69,0.36,0.11,0.06,0.01****,0.207,Small (0.28)
