Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
c_sys_SUS,42,38,77.26,70.66,19.71,19.73,3.04,3.2,0.89,0.139,Small (0.33)
q_sys_freqUse,42,38,3.6,3.76,1.25,1.1,0.19,0.18,0.26,0.528,Very Small (-0.14)
q_sys_complex,42,38,1.9,2.24,1.12,1.13,0.17,0.18,0.64,0.191,Small (-0.3)
q_sys_easeUse,42,38,4.36,4.05,1.01,0.9,0.16,0.15,0.41,0.16,Small (0.32)
q_sys_techNeed,42,38,1.6,2.03,1.15,1.46,0.18,0.24,0.02****,0.144,Small (-0.33)
q_sys_funcInteg,42,38,3.81,3.71,1.17,1.04,0.18,0.17,0.84,0.692,Very Small (0.09)
q_sys_inconsist,42,38,2.21,2.45,1.26,1.31,0.19,0.21,0.33,0.42,Very Small (-0.18)
q_sys_learnUse,42,38,4.29,4.05,0.94,0.9,0.15,0.15,0.69,0.263,Small (0.25)
q_sys_cumbUse,42,38,1.9,2.5,1.23,1.27,0.19,0.21,0.44,0.036*,Small (-0.48)
q_sys_confUse,42,38,4.12,4.08,1.13,0.88,0.17,0.14,0.44,0.861,Very Small (0.04)
q_sys_learnToUse,42,38,1.64,2.18,1.06,1.39,0.16,0.23,0.01****,0.052,Small (-0.44)
c_moveDistanceAavg,42,38,0,5.76,0,6.18,0,1,0.0****,0.0***,Very Large (-1.35)
c_moveDistanceCavg,42,38,0,4.14,0,5.32,0,0.86,0.0****,0.0***,Large (-1.13)
c_moveDistanceDavg,42,38,0,1.63,0,3.33,0,0.54,0.0****,0.002**,Medium (-0.71)
c_clickCountAvg,42,38,0,4.14,0,5.32,0,0.86,0.0****,0.0***,Large (-1.13)
c_dragCountAvg,42,38,0,0.47,0,1.03,0,0.17,0.0****,0.004**,Medium (-0.66)
c_movieInListPosAvg,42,38,1.85,1.56,0.85,0.76,0.13,0.12,0.57,0.122,Small (0.35)
c_moviePosAvg,42,38,2,1.52,1.61,1.82,0.25,0.3,0.85,0.215,Small (0.28)
c_preferecControl,42,38,0,1.16,0,0.92,0,0.15,0.0****,0.0***,Huge (-1.84)
q_outc_satisfactionScore1,42,38,4,3.74,1.04,1.22,0.16,0.2,0.27,0.301,Small (0.23)
q_outc_satisfactionScore2,42,38,3.93,3.95,1.11,1.04,0.17,0.17,0.94,0.938,Very Small (-0.02)
q_outc_satisfactionScore3,42,38,3.9,3.89,1.08,1.01,0.17,0.16,0.83,0.966,None (0.01)
q_outc_satisfactionScore4,42,38,3.57,3.89,1.27,1.01,0.2,0.16,0.01****,0.214,Small (-0.28)
q_outc_satisfactionScore5,42,38,4.05,3.84,0.88,0.86,0.14,0.14,0.71,0.294,Small (0.24)
c_outc_listSatAvg,42,38,3.89,3.86,0.77,0.74,0.12,0.12,0.8,0.872,Very Small (0.04)
q_outc_diversity,42,38,4.02,3.84,0.9,0.89,0.14,0.14,0.97,0.366,Small (0.2)
q_outc_novelty,42,38,3.86,3.74,1.14,1.06,0.18,0.17,0.88,0.627,Very Small (0.11)
q_outc_serendipity,42,38,3.67,3.61,1.03,1.15,0.16,0.19,0.42,0.802,Very Small (0.06)
q_outc_relevance,42,38,3.4,3.42,1.19,1.22,0.18,0.2,0.85,0.952,Very Small (-0.01)
q_proc_searchSim,42,38,2.12,2.47,1.31,1.37,0.2,0.22,0.47,0.24,Small (-0.26)
q_proc_decidDiff,42,38,2.6,2.66,1.29,1.44,0.2,0.23,0.11,0.838,Very Small (-0.05)
q_proc_recImprove,42,38,3.02,3.53,1.05,1.08,0.16,0.18,0.48,0.038*,Small (-0.47)
q_proc_control,42,38,3.33,3.37,1.22,1.2,0.19,0.19,0.91,0.897,Very Small (-0.03)
q_proc_sorting,42,38,3.36,3.39,1.28,1.28,0.2,0.21,0.71,0.896,Very Small (-0.03)
c_ageGroup,42,38,2.71,2.71,0.97,1.04,0.15,0.17,0.51,0.987,None (0.0)
q_dem_onlineUsage,42,38,1.76,1.53,0.88,0.51,0.14,0.08,0.1,0.151,Small (0.32)
c_dem_genderCat,42,38,1.5,1.53,0.55,0.51,0.09,0.08,0.32,0.825,Very Small (-0.05)
q_dem_movieUsage,42,38,3,3.11,2.14,1.98,0.33,0.32,0.36,0.821,Very Small (-0.05)
c_All_IndexAvg,42,38,26.98,23.34,14.91,16.42,2.3,2.66,0.27,0.303,Small (0.23)
c_Title_IndexAvg,42,38,21.9,27.32,14.62,15.57,2.26,2.53,0.58,0.113,Small (-0.36)
