1,Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
1,c_sys_SUS,50,50,69.85,61.2,19.28,19.27,2.73,2.73,0.8,0.027*,Small (0.45)
1,q_sys_freqUse,50,50,3.56,3.66,1.01,1.24,0.14,0.18,0.22,0.66,Very Small (-0.09)
1,q_sys_complex,50,50,2.18,2.94,1.26,1.28,0.18,0.18,0.7,0.004**,Medium (-0.6)
1,q_sys_easeUse,50,50,3.98,3.8,1.04,1.01,0.15,0.14,0.44,0.382,Very Small (0.18)
1,q_sys_techNeed,50,50,1.82,2.44,1.32,1.5,0.19,0.21,0.04****,0.031*,Small (-0.44)
1,q_sys_funcInteg,50,50,3.6,3.46,0.88,1.11,0.12,0.16,0.11,0.486,Very Small (0.14)
1,q_sys_inconsist,50,50,2.66,2.98,1.36,1.38,0.19,0.19,0.86,0.246,Small (-0.23)
1,q_sys_learnUse,50,50,4.02,3.6,1.1,0.95,0.16,0.13,0.3,0.043*,Small (0.41)
1,q_sys_cumbUse,50,50,2.18,2.88,1.27,1.24,0.18,0.18,0.76,0.006**,Medium (-0.56)
1,q_sys_confUse,50,50,3.74,3.72,1.05,1.09,0.15,0.15,0.49,0.926,Very Small (0.02)
1,q_sys_learnToUse,50,50,2.12,2.52,1.39,1.28,0.2,0.18,0.72,0.139,Small (-0.3)
1,c_moveDistanceAavg,50,50,0,5.09,0,5.8,0,0.82,0.0****,0.0***,Very Large (-1.24)
1,c_moveDistanceCavg,50,50,0,3.92,0,5.19,0,0.73,0.0****,0.0***,Large (-1.07)
1,c_moveDistanceDavg,50,50,0,1.16,0,3.13,0,0.44,0.0****,0.01**,Medium (-0.53)
1,c_clickCountAvg,50,50,0,3.92,0,5.19,0,0.73,0.0****,0.0***,Large (-1.07)
1,c_dragCountAvg,50,50,0,0.5,0,1.25,0,0.18,0.0****,0.006**,Medium (-0.56)
1,c_movieInListPosAvg,50,50,1.92,1.58,0.69,0.78,0.1,0.11,0.39,0.027*,Small (0.45)
1,c_moviePosAvg,50,50,1.89,1.28,1.55,1.83,0.22,0.26,0.98,0.074,Small (0.36)
1,c_preferecControl,50,50,0,1.26,0,0.9,0,0.13,0.0****,0.0***,Huge (-1.98)
1,q_outc_satisfactionScore1,50,50,3.94,4.06,1.17,0.87,0.17,0.12,0.13,0.561,Very Small (-0.12)
1,q_outc_satisfactionScore2,50,50,3.82,4.1,0.96,0.99,0.14,0.14,0.77,0.156,Small (-0.29)
1,q_outc_satisfactionScore3,50,50,3.94,4.2,1.11,0.97,0.16,0.14,0.21,0.216,Small (-0.25)
1,q_outc_satisfactionScore4,50,50,3.9,3.9,1.13,1.15,0.16,0.16,0.48,1,None (0.0)
1,q_outc_satisfactionScore5,50,50,4,4.14,1.11,1.01,0.16,0.14,0.29,0.51,Very Small (-0.13)
1,c_outc_listSatAvg,50,50,3.92,4.08,0.78,0.71,0.11,0.1,0.84,0.286,Small (-0.21)
1,q_outc_diversity,50,50,3.78,3.5,0.93,0.97,0.13,0.14,0.32,0.145,Small (0.29)
1,q_outc_novelty,50,50,3.8,3.74,1.11,1.12,0.16,0.16,0.63,0.788,Very Small (0.05)
1,q_outc_serendipity,50,50,3.66,3.58,1,1.01,0.14,0.14,0.96,0.692,Very Small (0.08)
1,q_outc_relevance,50,50,3.28,3.42,1.21,1.23,0.17,0.17,0.95,0.568,Very Small (-0.11)
1,q_proc_searchSim,50,50,2.58,2.94,1.3,1.33,0.18,0.19,0.85,0.174,Small (-0.27)
1,q_proc_decidDiff,50,50,2.82,2.9,1.3,1.31,0.18,0.19,0.72,0.76,Very Small (-0.06)
1,q_proc_recImprove,50,50,3.28,3.3,1.25,1.18,0.18,0.17,0.41,0.935,Very Small (-0.02)
1,q_proc_control,50,50,3.22,3.22,1.37,0.95,0.19,0.13,0.0****,1,None (0.0)
1,q_proc_sorting,50,50,3.32,3.6,1.13,1.07,0.16,0.15,0.62,0.207,Small (-0.25)
1,c_ageGroup,50,50,2.98,2.82,1.06,1.08,0.15,0.15,0.54,0.457,Very Small (0.15)
1,q_dem_onlineUsage,50,50,1.54,1.8,0.58,0.73,0.08,0.1,0.72,0.051,Small (-0.4)
1,c_dem_genderCat,50,50,1.44,1.6,0.5,0.49,0.07,0.07,0.44,0.112,Small (-0.32)
1,q_dem_movieUsage,50,50,3.34,2.76,1.83,1.66,0.26,0.23,0.39,0.1,Small (0.33)
1,c_All_IndexAvg,50,50,19.02,20.9,14.39,13.87,2.04,1.96,0.73,0.508,Very Small (-0.13)
1,c_Title_IndexAvg,50,50,25.1,24.96,14,12.72,1.98,1.8,0.46,0.958,Very Small (0.01)
1,c_Image_IndexAvg,50,50,28.18,25.54,14.8,14.04,2.09,1.99,0.6,0.362,Very Small (0.18)
1,c_Plot_IndexAvg,50,50,24.9,25.34,13.6,14,1.92,1.98,0.95,0.874,Very Small (-0.03)
1,c_Genre_IndexAvg,50,50,26.24,22.22,14.73,13.74,2.08,1.94,0.53,0.161,Small (0.28)
1,c_Stars_IndexAvg,50,50,25.44,23.5,15.81,14.74,2.24,2.08,0.48,0.527,Very Small (0.13)
1,c_Director_IndexAvg,50,50,26.76,21.84,13.44,14.96,1.9,2.12,0.24,0.087,Small (0.35)
1,c_Date_IndexAvg,50,50,28.58,31.14,15.38,14.42,2.18,2.04,0.31,0.393,Very Small (-0.17)
1,c_Tag_IndexAvg,50,50,27.52,21.7,16.42,16.24,2.32,2.3,0.76,0.078,Small (0.36)
1,c_SVD_IndexAvg,50,50,22.54,24.02,15.84,16.44,2.24,2.32,0.8,0.648,Very Small (-0.09)
1,c_Baseline_IndexAvg,50,50,20.72,33.84,15.27,11.86,2.16,1.68,0.01****,0.0***,Large (-0.96)
1,c_All_Picked,50,50,0.72,0.42,1.26,0.84,0.18,0.12,0.0****,0.164,Small (0.28)
1,c_Title_Picked,50,50,0.24,0.42,0.72,1.03,0.1,0.15,0.07,0.313,Small (-0.2)
1,c_Image_Picked,50,50,0.26,0.12,0.66,0.39,0.09,0.05,0.01****,0.2,Small (0.26)
1,c_Plot_Picked,50,50,0.3,0.38,0.65,0.67,0.09,0.09,0.33,0.544,Very Small (-0.12)
1,c_Genre_Picked,50,50,0.3,0.4,0.84,0.95,0.12,0.13,0.43,0.578,Very Small (-0.11)
1,c_Stars_Picked,50,50,0.4,0.6,0.81,1.2,0.11,0.17,0.1,0.329,Very Small (-0.2)
1,c_Director_Picked,50,50,0.5,0.66,1.05,1.12,0.15,0.16,0.43,0.463,Very Small (-0.15)
1,c_Date_Picked,50,50,0.26,0.34,0.85,0.96,0.12,0.14,0.46,0.661,Very Small (-0.09)
1,c_Tag_Picked,50,50,0.76,0.74,1.27,1.34,0.18,0.19,0.99,0.939,Very Small (0.02)
1,c_SVD_Picked,50,50,0.88,0.8,1.38,1.31,0.2,0.19,0.65,0.767,Very Small (0.06)
1,c_Baseline_Picked,50,50,0.38,0.12,0.78,0.44,0.11,0.06,0.0****,0.042*,Small (0.41)
