Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
q_outc_novelty,46,42,3.8,3.74,1.15,1.17,0.17,0.18,0.72,0.789,Very Small (0.06)
q_outc_serendipity,46,42,3.61,3.57,1,1.04,0.15,0.16,0.84,0.864,Very Small (0.04)
q_outc_relevance,46,42,3.24,3.36,1.23,1.21,0.18,0.19,0.74,0.651,Very Small (-0.1)
q_proc_searchSim,46,42,2.5,2.74,1.28,1.25,0.19,0.19,0.78,0.38,Very Small (-0.19)
q_proc_decidDiff,46,42,2.78,2.64,1.33,1.23,0.2,0.19,0.38,0.611,Very Small (0.11)
q_proc_recImprove,46,42,3.24,3.29,1.29,1.2,0.19,0.18,0.36,0.861,Very Small (-0.04)
q_proc_control,46,42,3.15,3.14,1.4,0.95,0.21,0.15,0.0****,0.971,None (0.01)
q_proc_sorting,46,42,3.24,3.64,1.12,1.12,0.17,0.17,0.98,0.095,Small (-0.36)
c_ageGroup,46,42,2.98,2.9,1.04,1.08,0.15,0.17,0.65,0.746,Very Small (0.07)
q_dem_onlineUsage,46,42,1.57,1.81,0.58,0.77,0.09,0.12,0.99,0.096,Small (-0.36)
c_dem_genderCat,46,42,1.41,1.6,0.5,0.5,0.07,0.08,0.88,0.09,Small (-0.37)
q_dem_movieUsage,46,42,3.35,2.62,1.88,1.64,0.28,0.25,0.27,0.057,Small (0.41)
c_All_IndexAvg,46,42,19.2,21.45,13.87,14.13,2.04,2.18,0.95,0.452,Very Small (-0.16)
c_Title_IndexAvg,46,42,26.04,25.26,13.89,12.1,2.05,1.87,0.32,0.78,Very Small (0.06)
c_Image_IndexAvg,46,42,28.07,26.4,14.7,14.34,2.17,2.21,0.78,0.594,Very Small (0.11)
c_Plot_IndexAvg,46,42,23.8,25.29,13.29,14.23,1.96,2.2,0.77,0.615,Very Small (-0.11)
c_Genre_IndexAvg,46,42,26.67,24.19,15.2,13.44,2.24,2.07,0.29,0.421,Very Small (0.17)
c_Stars_IndexAvg,46,42,25.11,24.4,15.55,15.34,2.29,2.37,0.85,0.832,Very Small (0.05)
c_Director_IndexAvg,46,42,27.35,22.19,12.74,15.74,1.88,2.43,0.04****,0.093,Small (0.36)
c_Date_IndexAvg,46,42,28.46,31.93,15.8,13.7,2.33,2.11,0.1,0.276,Small (-0.23)
c_Tag_IndexAvg,46,42,26.87,18.93,16.87,15.32,2.49,2.36,0.16,0.024*,Small (0.49)
c_SVD_IndexAvg,46,42,22.17,20.62,15.67,15.11,2.31,2.33,0.75,0.638,Very Small (0.1)
c_Baseline_IndexAvg,46,42,21.26,34.33,15.39,11.19,2.27,1.73,0.0****,0.0***,Large (-0.96)
c_All_Picked,46,42,0.72,0.43,1.26,0.86,0.19,0.13,0.01****,0.216,Small (0.27)
c_Title_Picked,46,42,0.22,0.31,0.7,0.81,0.1,0.13,0.32,0.568,Very Small (-0.12)
c_Image_Picked,46,42,0.24,0.14,0.64,0.42,0.09,0.06,0.09,0.41,Very Small (0.18)
c_Plot_Picked,46,42,0.33,0.4,0.67,0.66,0.1,0.1,0.46,0.582,Very Small (-0.12)
c_Genre_Picked,46,42,0.33,0.31,0.87,0.68,0.13,0.1,0.59,0.921,Very Small (0.02)
c_Stars_Picked,46,42,0.37,0.64,0.74,1.23,0.11,0.19,0.05****,0.205,Small (-0.27)
c_Director_Picked,46,42,0.43,0.55,0.86,0.94,0.13,0.15,0.57,0.559,Very Small (-0.13)
c_Date_Picked,46,42,0.28,0.24,0.89,0.73,0.13,0.11,0.62,0.798,Very Small (0.05)
c_Tag_Picked,46,42,0.83,0.88,1.3,1.42,0.19,0.22,0.74,0.851,Very Small (-0.04)
c_SVD_Picked,46,42,0.89,0.95,1.39,1.38,0.2,0.21,0.95,0.837,Very Small (-0.04)
c_Baseline_Picked,46,42,0.37,0.14,0.77,0.47,0.11,0.07,0.0****,0.104,Small (0.35)
