Variable,Passive N,Active N,Passive Mean,Active Mean,Passive SD,Active SD,Passive SE,Active SE,Leneve Value,T-Test P Value,Cohen Effect Size
c_sys_SUS,46,42,70.49,63.51,19.7,19.95,2.91,3.08,0.94,0.103,Small (0.35)
q_sys_freqUse,46,42,3.57,3.62,1.05,1.29,0.15,0.2,0.2,0.83,Very Small (-0.05)
q_sys_complex,46,42,2.15,2.83,1.26,1.27,0.19,0.2,0.55,0.013*,Medium (-0.54)
q_sys_easeUse,46,42,3.98,3.81,1.09,1.02,0.16,0.16,0.77,0.455,Very Small (0.16)
q_sys_techNeed,46,42,1.67,2.1,1.23,1.34,0.18,0.21,0.22,0.128,Small (-0.33)
q_sys_funcInteg,46,42,3.57,3.4,0.89,1.17,0.13,0.18,0.05****,0.468,Very Small (0.16)
q_sys_inconsist,46,42,2.67,2.81,1.38,1.35,0.2,0.21,0.64,0.643,Very Small (-0.1)
q_sys_learnUse,46,42,4.04,3.6,1.09,1.01,0.16,0.16,0.56,0.05*,Small (0.42)
q_sys_cumbUse,46,42,2.22,2.76,1.3,1.23,0.19,0.19,0.69,0.047*,Small (-0.43)
q_sys_confUse,46,42,3.8,3.81,1,1.13,0.15,0.17,0.31,0.982,None (-0.0)
q_sys_learnToUse,46,42,2.04,2.33,1.38,1.28,0.2,0.2,0.88,0.312,Small (-0.22)
c_moveDistanceAavg,46,42,0,5.94,0,5.92,0,0.91,0.0****,0.0***,Huge (-1.45)
c_moveDistanceCavg,46,42,0,4.56,0,5.4,0,0.83,0.0****,0.0***,Very Large (-1.22)
c_moveDistanceDavg,46,42,0,1.38,0,3.38,0,0.52,0.0****,0.007**,Medium (-0.59)
c_clickCountAvg,46,42,0,4.56,0,5.4,0,0.83,0.0****,0.0***,Very Large (-1.22)
c_dragCountAvg,46,42,0,0.59,0,1.35,0,0.21,0.0****,0.004**,Medium (-0.63)
c_movieInListPosAvg,46,42,1.93,1.59,0.67,0.74,0.1,0.11,0.45,0.024*,Small (0.49)
c_moviePosAvg,46,42,2.03,1.27,1.53,1.86,0.23,0.29,0.98,0.038*,Small (0.45)
c_preferecControl,46,42,0,1.43,0,0.83,0,0.13,0.0****,0.0***,Huge (-2.49)
q_outc_satisfactionScore1,46,42,3.87,3.98,1.19,0.9,0.17,0.14,0.12,0.638,Very Small (-0.1)
q_outc_satisfactionScore2,46,42,3.78,4.05,0.99,1.03,0.15,0.16,0.65,0.222,Small (-0.26)
q_outc_satisfactionScore3,46,42,3.91,4.1,1.13,1.01,0.17,0.16,0.22,0.429,Very Small (-0.17)
q_outc_satisfactionScore4,46,42,3.83,3.86,1.14,1.18,0.17,0.18,0.57,0.9,Very Small (-0.03)
q_outc_satisfactionScore5,46,42,4.02,4.02,1.11,1.05,0.16,0.16,0.28,0.993,None (-0.0)
c_outc_listSatAvg,46,42,3.88,4,0.79,0.74,0.12,0.11,0.87,0.475,Very Small (-0.15)
q_outc_diversity,46,42,3.78,3.5,0.94,0.99,0.14,0.15,0.29,0.174,Small (0.29)
