group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
2,3,0.17,0.7752,-0.4509,0.7909,False,Very Small (0.1),1.752,1.8075,0.1808
c_preferecControl,-,-,-,-,-,-,-,-,-,-
1,2,0.03,0.9,-0.2595,0.3195,False,Very Small (0.03),0.6,0.8646,0.0865
1,3,-0.08,0.7718,-0.3695,0.2095,False,Very Small (-0.09),0.63,0.895,0.0895
2,3,-0.11,0.6321,-0.3995,0.1795,False,Very Small (-0.13),0.52,0.8466,0.0847
q_outc_satisfactionScore1,-,-,-,-,-,-,-,-,-,-
1,2,0.04,0.9,-0.3094,0.3894,False,Very Small (0.04),3.96,1.0437,0.1044
1,3,0.01,0.9,-0.3394,0.3594,False,None (0.01),4.0,1.0249,0.1025
2,3,-0.03,0.9,-0.3794,0.3194,False,Very Small (-0.03),3.97,1.0774,0.1077
q_outc_satisfactionScore2,-,-,-,-,-,-,-,-,-,-
1,2,0.07,0.8721,-0.2767,0.4167,False,Very Small (0.07),3.89,1.0815,0.1081
1,3,0.09,0.7943,-0.2567,0.4367,False,Very Small (0.08),3.96,0.9839,0.0984
2,3,0.02,0.9,-0.3267,0.3667,False,Very Small (0.02),3.98,1.0539,0.1054
q_outc_satisfactionScore3,-,-,-,-,-,-,-,-,-,-
1,2,0.29,0.1515,-0.0767,0.6567,False,Small (0.26),3.78,1.2192,0.1219
1,3,0.13,0.6665,-0.2367,0.4967,False,Very Small (0.12),4.07,1.0469,0.1047
2,3,-0.16,0.5562,-0.5267,0.2067,False,Very Small (-0.15),3.91,1.0259,0.1026
q_outc_satisfactionScore4,-,-,-,-,-,-,-,-,-,-
1,2,0.06,0.9,-0.3036,0.4236,False,Very Small (0.06),3.84,1.0222,0.1022
1,3,0.03,0.9,-0.3336,0.3936,False,Very Small (0.03),3.9,1.1326,0.1133
2,3,-0.03,0.9,-0.3936,0.3336,False,Very Small (-0.03),3.87,1.116,0.1116
q_outc_satisfactionScore5,-,-,-,-,-,-,-,-,-,-
1,2,0.14,0.5853,-0.1976,0.4776,False,Very Small (0.13),3.93,1.1033,0.1103
1,3,0.09,0.7849,-0.2476,0.4276,False,Very Small (0.09),4.07,1.0565,0.1057
2,3,-0.05,0.9,-0.3876,0.2876,False,Very Small (-0.05),4.02,0.8643,0.0864
c_outc_listSatAvg,-,-,-,-,-,-,-,-,-,-
1,2,0.12,0.52,-0.1391,0.3791,False,Very Small (0.15),3.88,0.8341,0.0834
1,3,0.07,0.7801,-0.1891,0.3291,False,Very Small (0.09),4.0,0.7462,0.0746
2,3,-0.05,0.8841,-0.3091,0.2091,False,Very Small (-0.07),3.95,0.7496,0.075
q_outc_diversity,-,-,-,-,-,-,-,-,-,-
1,2,-0.23,0.1697,-0.53,0.07,False,Small (-0.25),3.87,0.8605,0.0861
1,3,0.01,0.9,-0.29,0.31,False,Very Small (0.01),3.64,0.959,0.0959
2,3,0.24,0.1451,-0.06,0.54,False,Small (0.26),3.88,0.8794,0.0879
q_outc_novelty,-,-,-,-,-,-,-,-,-,-
1,2,-0.1,0.7575,-0.4485,0.2485,False,Very Small (-0.1),3.87,0.9812,0.0981
1,3,-0.07,0.8735,-0.4185,0.2785,False,Very Small (-0.07),3.77,1.1088,0.1109
2,3,0.03,0.9,-0.3185,0.3785,False,Very Small (0.03),3.8,1.0445,0.1044
q_outc_serendipity,-,-,-,-,-,-,-,-,-,-
1,2,-0.03,0.9,-0.3708,0.3108,False,Very Small (-0.03),3.65,1.0481,0.1048
1,3,0.01,0.9,-0.3308,0.3508,False,None (0.01),3.62,1.0028,0.1003
2,3,0.04,0.9,-0.3008,0.3808,False,Very Small (0.04),3.66,1.0172,0.1017
q_outc_relevance,-,-,-,-,-,-,-,-,-,-
1,2,0.01,0.9,-0.3813,0.4013,False,None (0.01),3.34,1.1211,0.1121
1,3,0.23,0.3511,-0.1613,0.6213,False,Very Small (0.2),3.35,1.2175,0.1218
2,3,0.22,0.384,-0.1713,0.6113,False,Very Small (0.18),3.57,1.1828,0.1183
q_proc_searchSim,-,-,-,-,-,-,-,-,-,-
1,2,0.18,0.6019,-0.2673,0.6273,False,Very Small (0.14),2.58,1.3347,0.1335
