group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,2,-0.3937,0.3301,-1.0449,0.2576,False,Small (-0.21),2.0596,2.0828,0.2148
1,3,-0.2921,0.5545,-0.9599,0.3758,False,Very Small (-0.15),1.6659,1.7324,0.1847
2,3,0.1016,0.9,-0.5766,0.7798,False,Very Small (0.06),1.7675,1.7203,0.1923
c_preferecControl,-,-,-,-,-,-,-,-,-,-
1,2,0.0648,0.8607,-0.2433,0.3729,False,Very Small (0.07),0.617,0.8689,0.0896
1,3,-0.067,0.8582,-0.383,0.249,False,Very Small (-0.08),0.6818,0.9166,0.0977
2,3,-0.1318,0.5903,-0.4527,0.1891,False,Very Small (-0.15),0.55,0.8554,0.0956
q_outc_satisfactionScore1,-,-,-,-,-,-,-,-,-,-
1,2,-0.0157,0.9,-0.3938,0.3624,False,Very Small (-0.01),3.9362,1.0657,0.1099
1,3,-0.0612,0.9,-0.4489,0.3266,False,Very Small (-0.06),3.9205,1.0529,0.1122
2,3,-0.0455,0.9,-0.4392,0.3483,False,Very Small (-0.04),3.875,1.1293,0.1263
q_outc_satisfactionScore2,-,-,-,-,-,-,-,-,-,-
1,2,0.0155,0.9,-0.3551,0.3861,False,Very Small (0.01),3.8936,1.0922,0.1126
1,3,0.0439,0.9,-0.3361,0.4239,False,Very Small (0.04),3.9091,1.013,0.108
2,3,0.0284,0.9,-0.3575,0.4144,False,Very Small (0.03),3.9375,1.0714,0.1198
q_outc_satisfactionScore3,-,-,-,-,-,-,-,-,-,-
1,2,0.2553,0.2804,-0.1388,0.6495,False,Small (0.22),3.7447,1.2438,0.1283
1,3,0.1553,0.6261,-0.2489,0.5595,False,Very Small (0.14),4.0,1.0721,0.1143
2,3,-0.1,0.8157,-0.5105,0.3105,False,Very Small (-0.09),3.9,1.0385,0.1161
q_outc_satisfactionScore4,-,-,-,-,-,-,-,-,-,-
1,2,0.0111,0.9,-0.3782,0.4004,False,Very Small (0.01),3.8298,1.0332,0.1066
1,3,-0.1048,0.7903,-0.504,0.2944,False,Very Small (-0.1),3.8409,1.1536,0.123
2,3,-0.1159,0.7587,-0.5213,0.2895,False,Very Small (-0.1),3.725,1.1581,0.1295
q_outc_satisfactionScore5,-,-,-,-,-,-,-,-,-,-
1,2,0.1078,0.7422,-0.2538,0.4695,False,Very Small (0.1),3.9149,1.1232,0.1158
1,3,0.0351,0.9,-0.3358,0.406,False,Very Small (0.03),4.0227,1.0719,0.1143
2,3,-0.0727,0.8839,-0.4494,0.3039,False,Very Small (-0.07),3.95,0.87,0.0973
c_outc_listSatAvg,-,-,-,-,-,-,-,-,-,-
1,2,0.0748,0.7796,-0.2018,0.3514,False,Very Small (0.09),3.8638,0.8466,0.0873
1,3,0.0137,0.9,-0.27,0.2973,False,Very Small (0.02),3.9386,0.7638,0.0814
2,3,-0.0611,0.8581,-0.3492,0.227,False,Very Small (-0.08),3.8775,0.752,0.0841
q_outc_diversity,-,-,-,-,-,-,-,-,-,-
1,2,-0.2459,0.1664,-0.565,0.0732,False,Small (-0.27),3.8936,0.8734,0.0901
