group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
5,6,0.348,0.6636,-0.6317,1.3277,False,Very Small (0.18),1.624,2.0614,0.2915
c_preferecControl,-,-,-,-,-,-,-,-,-,-
4,5,0.06,0.9,-0.3706,0.4906,False,Very Small (0.07),1.2,0.8806,0.1245
4,6,-0.16,0.6415,-0.5906,0.2706,False,Very Small (-0.18),1.26,0.8992,0.1272
5,6,-0.22,0.4511,-0.6506,0.2106,False,Small (-0.24),1.04,0.9467,0.1339
q_outc_satisfactionScore1,-,-,-,-,-,-,-,-,-,-
4,5,0.36,0.1981,-0.1331,0.8531,False,Small (0.37),3.7,1.0926,0.1545
4,6,0.16,0.7052,-0.3331,0.6531,False,Very Small (0.14),4.06,0.8668,0.1226
5,6,-0.2,0.5954,-0.6931,0.2931,False,Very Small (-0.2),3.86,1.143,0.1616
q_outc_satisfactionScore2,-,-,-,-,-,-,-,-,-,-
4,5,0.36,0.2113,-0.1433,0.8633,False,Small (0.34),3.74,1.1214,0.1586
4,6,0.22,0.5528,-0.2833,0.7233,False,Small (0.2),4.1,0.9949,0.1407
5,6,-0.14,0.7679,-0.6433,0.3633,False,Very Small (-0.14),3.96,1.0683,0.1511
q_outc_satisfactionScore3,-,-,-,-,-,-,-,-,-,-
4,5,0.44,0.1089,-0.0735,0.9535,False,Small (0.4),3.76,1.2216,0.1728
4,6,0.16,0.7226,-0.3535,0.6735,False,Very Small (0.14),4.2,0.9689,0.137
5,6,-0.28,0.4039,-0.7935,0.2335,False,Small (-0.28),3.92,1.0467,0.148
q_outc_satisfactionScore4,-,-,-,-,-,-,-,-,-,-
4,5,0.14,0.775,-0.3729,0.6529,False,Very Small (0.12),3.76,1.1168,0.1579
4,6,0.3,0.3523,-0.2129,0.8129,False,Small (0.29),3.9,1.1473,0.1623
5,6,0.16,0.7222,-0.3529,0.6729,False,Very Small (0.15),4.06,0.9775,0.1382
q_outc_satisfactionScore5,-,-,-,-,-,-,-,-,-,-
4,5,0.38,0.1424,-0.0937,0.8537,False,Small (0.36),3.76,1.0797,0.1527
4,6,0.2,0.5729,-0.2737,0.6737,False,Small (0.2),4.14,1.0104,0.1429
5,6,-0.18,0.6301,-0.6537,0.2937,False,Very Small (-0.19),3.96,0.9026,0.1276
c_outc_listSatAvg,-,-,-,-,-,-,-,-,-,-
4,5,0.336,0.0844,-0.0348,0.7068,False,Small (0.43),3.744,0.8534,0.1207
4,6,0.208,0.3832,-0.1628,0.5788,False,Small (0.26),4.08,0.7149,0.1011
5,6,-0.128,0.6772,-0.4988,0.2428,False,Very Small (-0.17),3.952,0.7747,0.1096
q_outc_diversity,-,-,-,-,-,-,-,-,-,-
4,5,-0.26,0.3027,-0.6752,0.1552,False,Small (-0.3),3.76,0.7709,0.109
4,6,0.06,0.9,-0.3552,0.4752,False,Very Small (0.07),3.5,0.9742,0.1378
5,6,0.32,0.1652,-0.0952,0.7352,False,Small (0.35),3.82,0.8734,0.1235
q_outc_novelty,-,-,-,-,-,-,-,-,-,-
4,5,-0.02,0.9,-0.5153,0.4753,False,Very Small (-0.02),3.76,1.0412,0.1472
4,6,-0.04,0.9,-0.5353,0.4553,False,Very Small (-0.04),3.74,1.1214,0.1586
5,6,-0.02,0.9,-0.5153,0.4753,False,Very Small (-0.02),3.72,0.9697,0.1371
q_outc_serendipity,-,-,-,-,-,-,-,-,-,-
4,5,0.18,0.6413,-0.3042,0.6642,False,Very Small (0.18),3.4,0.9897,0.14
4,6,0.24,0.4725,-0.2442,0.7242,False,Small (0.23),3.58,1.012,0.1431
5,6,0.06,0.9,-0.4242,0.5442,False,Very Small (0.06),3.64,1.0645,0.1505
q_outc_relevance,-,-,-,-,-,-,-,-,-,-
4,5,0.22,0.6056,-0.3326,0.7726,False,Very Small (0.19),3.2,1.0498,0.1485
4,6,0.4,0.2036,-0.1526,0.9526,False,Small (0.35),3.42,1.2304,0.174
5,6,0.18,0.7036,-0.3726,0.7326,False,Very Small (0.15),3.6,1.2122,0.1714
q_proc_searchSim,-,-,-,-,-,-,-,-,-,-
4,5,0.08,0.9,-0.5587,0.7187,False,Very Small (0.06),2.86,1.3403,0.1895
4,6,-0.08,0.9,-0.7187,0.5587,False,Very Small (-0.06),2.94,1.3311,0.1882
5,6,-0.16,0.8054,-0.7987,0.4787,False,Very Small (-0.12),2.78,1.3746,0.1944
q_proc_decidDiff,-,-,-,-,-,-,-,-,-,-
4,5,-0.18,0.7577,-0.81,0.45,False,Very Small (-0.14),3.08,1.1925,0.1686
4,6,-0.08,0.9,-0.71,0.55,False,Very Small (-0.06),2.9,1.3132,0.1857
5,6,0.1,0.9,-0.53,0.73,False,Very Small (0.07),3.0,1.4708,0.208
q_proc_recImprove,-,-,-,-,-,-,-,-,-,-
4,5,-0.04,0.9,-0.537,0.457,False,Very Small (-0.04),3.34,0.9607,0.1359
4,6,0.24,0.4904,-0.257,0.737,False,Small (0.25),3.3,1.1824,0.1672
5,6,0.28,0.3799,-0.217,0.777,False,Small (0.26),3.58,0.9916,0.1402
q_proc_control,-,-,-,-,-,-,-,-,-,-
4,5,-0.06,0.9,-0.5769,0.4569,False,Very Small (-0.06),3.28,1.1436,0.1617
4,6,0.22,0.5684,-0.2969,0.7369,False,Very Small (0.19),3.22,0.9538,0.1349
5,6,0.28,0.4089,-0.2369,0.7969,False,Small (0.26),3.5,1.165,0.1648
q_proc_sorting,-,-,-,-,-,-,-,-,-,-
4,5,0.02,0.9,-0.5021,0.5421,False,Very Small (0.02),3.58,1.012,0.1431
4,6,-0.1,0.8852,-0.6221,0.4221,False,Very Small (-0.09),3.6,1.069,0.1512
5,6,-0.12,0.8333,-0.6421,0.4021,False,Very Small (-0.1),3.48,1.2162,0.172
q_dem_movieUsage,-,-,-,-,-,-,-,-,-,-
4,5,-0.28,0.6932,-1.12,0.56,False,Very Small (-0.16),2.56,1.8534,0.2621
