,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
c_Stars_IndexAvg,55.61333333,2,27.80666667,0.161698771,0.850848524,0.002195154,-0.011303695,0.0****,0.0****
,25278.98,147,171.9658503,,,,,0.0****,0.0****
c_Director_IndexAvg,382.68,2,191.34,1.137474947,0.32343309,0.015239998,0.001829646,0.04****,0.0****
,24727.56,147,168.2146939,,,,,0.04****,0.0****
c_Date_IndexAvg,520.2533333,2,260.1266667,1.463066567,0.23487653,0.019517165,0.006136334,0.01****,0.0****
,26135.94,147,177.7955102,,,,,0.01****,0.0****
c_Tag_IndexAvg,440.1733333,2,220.0866667,1.068693853,0.346109901,0.014331669,0.00091508,0.0****,0.0****
,30273.16,147,205.9398639,,,,,0.0****,0.0****
c_SVD_IndexAvg,851.3733333,2,425.6866667,2.516595001,0.084207565,0.033105863,0.019820472,0.13,0.0****
,24865.32,147,169.1518367,,,,,0.13,0.0****
c_Baseline_IndexAvg,309.8133333,2,154.9066667,0.909776935,0.404868725,0.012226578,-0.001204423,0.0****,0.0****
,25029.52,147,170.2688435,,,,,0.0****,0.0****
c_All_Picked,4.853333333,2,2.426666667,2.730557257,0.068490601,0.035819721,0.022553691,0.0****,0.0****
,130.64,147,0.888707483,,,,,0.0****,0.0****
c_Title_Picked,1.72,2,0.86,1.120347395,0.328935184,0.015013966,0.001602061,0.0****,0.0****
,112.84,147,0.767619048,,,,,0.0****,0.0****
c_Image_Picked,0.653333333,2,0.326666667,0.643010177,0.527179697,0.008672566,-0.004782629,0.0****,0.51
,74.68,147,0.508027211,,,,,0.0****,0.51
c_Plot_Picked,1,2,0.5,0.807692308,0.447854586,0.010869565,-0.002570694,0.0****,0.01****
,91,147,0.619047619,,,,,0.0****,0.01****
c_Genre_Picked,0.413333333,2,0.206666667,0.363571087,0.695812654,0.004922198,-0.008558343,0.0****,1
,83.56,147,0.568435374,,,,,0.0****,1
c_Stars_Picked,0.973333333,2,0.486666667,1.332216015,0.267058783,0.017802707,0.004410013,0.0****,0.0****
,53.7,147,0.365306122,,,,,0.0****,0.0****
c_Director_Picked,3.053333333,2,1.526666667,1.427426536,0.24323127,0.019050788,0.005666726,0.0****,0.01****
,157.22,147,1.06952381,,,,,0.0****,0.01****
c_Date_Picked,0.093333333,2,0.046666667,0.109619687,0.896248085,0.001489203,-0.012014369,0.0****,0.98
,62.58,147,0.425714286,,,,,0.0****,0.98
c_Tag_Picked,1.853333333,2,0.926666667,0.638092561,0.529756041,0.008606811,-0.00484883,0.0****,0.0****
,213.48,147,1.452244898,,,,,0.0****,0.0****
c_SVD_Picked,4.493333333,2,2.246666667,1.761574568,0.175380728,0.023406029,0.010052254,0.0****,0.0****
,187.48,147,1.27537415,,,,,0.0****,0.0****
c_Baseline_Picked,0.493333333,2,0.246666667,0.534966067,0.586825017,0.007225857,-0.006239138,0.0****,0.2
,67.78,147,0.461088435,,,,,0.0****,0.2
