1,,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
0,q_dem_movieUsage,3.42317568,2,1.71158784,0.45386378,0.636156708,0.006829758,-0.008156904,0.0****,0.22
1,,497.7916391,132,3.771148781,,,,,0.0****,0.22
2,,-,-,-,-,-,-,-,-,-
0,q_dem_onlineUsage,0.863838597,2,0.431919299,0.964102946,0.383993692,0.01439731,-0.000532091,0.0****,0.05
1,,59.1361614,132,0.448001223,,,,,0.0****,0.05
2,,-,-,-,-,-,-,-,-,-
0,c_ageGroup,1.884510717,2,0.942255358,0.885339689,0.415009368,0.013236678,-0.001701562,0.0****,0.88
1,,140.4858597,132,1.064286816,,,,,0.0****,0.88
2,,-,-,-,-,-,-,-,-,-
0,c_dem_genderCat,1.73506013,2,0.867530065,3.381490385,0.036967537,0.048737644,0.034078987,0.0****,0.01****
1,,33.86493987,132,0.256552575,,,,,0.0****,0.01****
2,,-,-,-,-,-,-,-,-,-
0,c_All_IndexAvg,1381.127153,2,690.5635767,4.707394106,0.010597925,0.066575698,0.052064735,0.65,0.0****
1,,19364.08766,132,146.6976338,,,,,0.65,0.0****
2,,-,-,-,-,-,-,-,-,-
0,c_Title_IndexAvg,508.7030547,2,254.3515273,1.745077568,0.178635848,0.025759474,0.010917675,0.19,0.0****
1,,19239.48954,132,145.7537086,,,,,0.19,0.0****
2,,-,-,-,-,-,-,-,-,-
0,c_Image_IndexAvg,583.3571404,2,291.6785702,1.760106526,0.176039635,0.025975557,0.011135443,0.05****,0.0****
1,,21874.56879,132,165.7164302,,,,,0.05****,0.0****
2,,-,-,-,-,-,-,-,-,-
0,c_Plot_IndexAvg,146.5709,2,73.28544998,0.481882634,0.618701732,0.00724833,-0.007735187,0.05****,0.0****
1,,20074.76243,132,152.0815336,,,,,0.05****,0.0****
2,,-,-,-,-,-,-,-,-,-
0,c_Genre_IndexAvg,189.8602,2,94.9301,0.522640954,0.594174359,0.007856588,-0.007122355,0.01****,0.0****
1,,23975.87313,132,181.6354025,,,,,0.01****,0.0****
2,,-,-,-,-,-,-,-,-,-
0,c_Stars_IndexAvg,62.93729792,2,31.46864896,0.190021154,0.827167445,0.002870843,-0.012145428,0.01****,0.0****
1,,21859.99604,132,165.6060306,,,,,0.01****,0.0****
2,,-,-,-,-,-,-,-,-,-
0,c_Director_IndexAvg,421.0306232,2,210.5153116,1.293604888,0.277734192,0.019223296,0.004330864,0.07,0.0****
1,,21481.07308,132,162.7354021,,,,,0.07,0.0****
2,,-,-,-,-,-,-,-,-,-
0,c_Date_IndexAvg,503.471759,2,251.7358795,1.384647633,0.254024891,0.020548414,0.005666195,0.02****,0.0****
1,,23998.26157,132,181.8050119,,,,,0.02****,0.0****
2,,-,-,-,-,-,-,-,-,-
0,c_Tag_IndexAvg,211.9129926,2,105.9564963,0.504268296,0.605105994,0.007582495,-0.007398509,0.0****,0.0****
1,,27735.74627,132,210.1192899,,,,,0.0****,0.0****
2,,-,-,-,-,-,-,-,-,-
0,c_SVD_IndexAvg,842.0529277,2,421.0264638,2.413335856,0.093456412,0.03527581,0.020508888,0.19,0.0****
1,,23028.49522,132,174.4582971,,,,,0.19,0.0****
2,,-,-,-,-,-,-,-,-,-
0,c_Baseline_IndexAvg,193.3440113,2,96.67200564,0.576770936,0.56311842,0.008663246,-0.006309622,0.0****,0.0****
1,,22124.38932,132,167.60901,,,,,0.0****,0.0****
2,,-,-,-,-,-,-,-,-,-
0,c_All_Picked,3.65674542,2,1.82837271,1.977478186,0.142497255,0.029090196,0.014274448,0.0****,0.0****
1,,122.0469583,132,0.924598169,,,,,0.0****,0.0****
2,,-,-,-,-,-,-,-,-,-
0,c_Title_Picked,0.994266528,2,0.497133264,0.740107102,0.479031855,0.01108939,-0.003865147,0.0****,0.04****
1,,88.66499273,132,0.67170449,,,,,0.0****,0.04****
2,,-,-,-,-,-,-,-,-,-
0,c_Image_Picked,0.955358795,2,0.477679397,1.314221391,0.272175594,0.019523681,0.004633562,0.0****,0.07
1,,47.97797454,132,0.363469504,,,,,0.0****,0.07
2,,-,-,-,-,-,-,-,-,-
0,c_Plot_Picked,0.232540417,2,0.116270208,0.227370181,0.796937173,0.003433175,-0.011578904,0.0****,0.21
1,,67.50079292,132,0.511369643,,,,,0.0****,0.21
2,,-,-,-,-,-,-,-,-,-
0,c_Genre_Picked,0.283424127,2,0.141712064,0.231133955,0.793953663,0.003489808,-0.011521849,0.0****,0.96
1,,80.93139069,132,0.613116596,,,,,0.0****,0.96
2,,-,-,-,-,-,-,-,-,-
0,c_Stars_Picked,0.594924355,2,0.297462177,0.878239308,0.417927454,0.013131914,-0.001807122,0.0****,0.01****
1,,44.70877935,132,0.338702874,,,,,0.0****,0.01****
2,,-,-,-,-,-,-,-,-,-
0,c_Director_Picked,4.453222814,2,2.226611407,2.428463476,0.092102564,0.035489084,0.020723855,0.0****,0.0****
1,,121.0282587,132,0.916880747,,,,,0.0****,0.0****
2,,-,-,-,-,-,-,-,-,-
