1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,2,4,1.4173,0.1058,-0.2238,3.0584,FALSE,Small (0.28),1.7162,3.8081,0.4427
0,,,,,,,,,,,
1,3,4,1.6838,0.0768,-0.1381,3.5056,FALSE,Small (0.34),3.4,5.9251,0.7586
0,,,,,,,,,,,
1,c_moveDistanceDavg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.1618,0.9,-0.9376,1.2611,FALSE,Very Small (0.05),1.0409,3.1887,0.283
0,,,,,,,,,,,
1,2,4,-0.4114,0.6705,-1.5825,0.7596,FALSE,Very Small (-0.15),1.2027,3.8105,0.443
0,,,,,,,,,,,
1,3,4,-0.5732,0.5497,-1.8732,0.7268,FALSE,Very Small (-0.18),0.6295,2.2078,0.2827
0,,,,,,,,,,,
1,c_clickCountAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.2665,0.9,-1.8071,1.2742,FALSE,Very Small (-0.07),1.9827,3.9913,0.3542
0,,,,,,,,,,,
1,2,4,1.4173,0.1058,-0.2238,3.0584,FALSE,Small (0.28),1.7162,3.8081,0.4427
0,,,,,,,,,,,
1,3,4,1.6838,0.0768,-0.1381,3.5056,FALSE,Small (0.34),3.4,5.9251,0.7586
0,,,,,,,,,,,
1,c_dragCountAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0583,0.9,-0.3217,0.4382,FALSE,Very Small (0.05),0.3417,1.0013,0.0889
0,,,,,,,,,,,
1,2,4,-0.0663,0.9,-0.4711,0.3384,FALSE,Very Small (-0.06),0.4,1.2987,0.151
0,,,,,,,,,,,
1,3,4,-0.1246,0.7703,-0.5739,0.3247,FALSE,Very Small (-0.11),0.2754,1.0419,0.1334
0,,,,,,,,,,,
1,c_movieInListPosAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.1262,0.5075,-0.1411,0.3935,FALSE,Very Small (0.15),1.6819,0.7586,0.0673
0,,,,,,,,,,,
1,2,4,-0.0229,0.9,-0.3076,0.2619,FALSE,Very Small (-0.03),1.8081,0.8699,0.1011
0,,,,,,,,,,,
1,3,4,-0.1491,0.5082,-0.4652,0.167,FALSE,Very Small (-0.19),1.659,0.6825,0.0874
0,,,,,,,,,,,
1,c_moviePosAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.4369,0.2427,-0.2021,1.0759,FALSE,Small (0.22),1.7685,2.0132,0.1786
0,,,,,,,,,,,
1,2,4,-0.2308,0.687,-0.9115,0.4499,FALSE,Very Small (-0.14),2.2054,1.9447,0.2261
0,,,,,,,,,,,
1,3,4,-0.6677,0.0953,-1.4234,0.088,FALSE,Small (-0.4),1.5377,1.3107,0.1678
0,,,,,,,,,,,
1,c_preferecControl,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0072,0.9,-0.3102,0.2957,FALSE,None (-0.01),0.5748,0.85,0.0754
0,,,,,,,,,,,
1,2,4,0.1957,0.3278,-0.127,0.5184,FALSE,Small (0.22),0.5676,0.8614,0.1001
0,,,,,,,,,,,
1,3,4,0.2029,0.3782,-0.1553,0.5612,FALSE,Small (0.22),0.7705,0.9556,0.1223
0,,,,,,,,,,,
1,q_outc_satisfactionScore1,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0404,0.9,-0.3324,0.4132,FALSE,Very Small (0.04),3.9055,1.0942,0.0971
0,,,,,,,,,,,
1,2,4,-0.0203,0.9,-0.4174,0.3768,FALSE,Very Small (-0.02),3.9459,1.1335,0.1318
0,,,,,,,,,,,
1,3,4,-0.0607,0.9,-0.5015,0.3801,FALSE,Very Small (-0.06),3.8852,0.9849,0.1261
0,,,,,,,,,,,
1,q_outc_satisfactionScore2,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0574,0.9,-0.3072,0.4219,FALSE,Very Small (0.05),3.9291,1.0479,0.093
0,,,,,,,,,,,
