1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,2,4,1.372,0.0767,-0.1118,2.8559,FALSE,Small (0.28),1.6824,3.7566,0.4075
0,,,,,,,,,,,
1,3,4,1.4221,0.1058,-0.2242,3.0684,FALSE,Small (0.29),3.1045,5.7288,0.6999
0,,,,,,,,,,,
1,c_moveDistanceDavg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.1525,0.9,-0.8085,1.1135,FALSE,Very Small (0.05),0.8946,2.9742,0.2445
0,,,,,,,,,,,
1,2,4,-0.3215,0.7276,-1.3612,0.7183,FALSE,Very Small (-0.12),1.0471,3.5754,0.3878
0,,,,,,,,,,,
1,3,4,-0.4739,0.5906,-1.6276,0.6797,FALSE,Very Small (-0.16),0.5731,2.1128,0.2581
0,,,,,,,,,,,
1,c_clickCountAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0501,0.9,-1.4215,1.3213,FALSE,Very Small (-0.01),1.7324,3.7648,0.3095
0,,,,,,,,,,,
1,2,4,1.372,0.0767,-0.1118,2.8559,FALSE,Small (0.28),1.6824,3.7566,0.4075
0,,,,,,,,,,,
1,3,4,1.4221,0.1058,-0.2242,3.0684,FALSE,Small (0.29),3.1045,5.7288,0.6999
0,,,,,,,,,,,
1,c_dragCountAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0536,0.9,-0.2784,0.3857,FALSE,Very Small (0.05),0.2946,0.9344,0.0768
0,,,,,,,,,,,
1,2,4,-0.0438,0.9,-0.4031,0.3154,FALSE,Very Small (-0.05),0.3482,1.2182,0.1321
0,,,,,,,,,,,
1,3,4,-0.0975,0.8146,-0.4961,0.3011,FALSE,Very Small (-0.09),0.2507,0.9966,0.1217
0,,,,,,,,,,,
1,c_movieInListPosAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0879,0.6812,-0.1679,0.3437,FALSE,Very Small (0.11),1.7027,0.784,0.0644
0,,,,,,,,,,,
1,2,4,-0.0132,0.9,-0.2899,0.2636,FALSE,Very Small (-0.02),1.7906,0.8607,0.0934
0,,,,,,,,,,,
1,3,4,-0.101,0.7008,-0.4081,0.206,FALSE,Very Small (-0.13),1.6896,0.7437,0.0909
0,,,,,,,,,,,
1,c_moviePosAvg,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.3431,0.3682,-0.2542,0.9404,FALSE,Very Small (0.18),1.6851,1.9385,0.1593
0,,,,,,,,,,,
